created_at,price
2019-03-17 11:53,4001.928
2019-03-17 11:54,4002.437
2019-03-17 11:55,4002.135
2019-03-17 11:56,4002.304
2019-03-17 11:57,4002.316
2019-03-17 11:58,4002.868
2019-03-17 11:59,4003.02
2019-03-17 12:00,4003.555
2019-03-17 12:01,4003.296
2019-03-17 12:02,4003.298
2019-03-17 12:03,4003.298
2019-03-17 12:04,4003.298
2019-03-17 12:05,4003.298
2019-03-17 12:06,4002.555
2019-03-17 12:07,4002.57
2019-03-17 12:08,4002.465
2019-03-17 12:09,4001.966
2019-03-17 12:10,4000.693
2019-03-17 12:11,4000.628
2019-03-17 12:12,4000.524
2019-03-17 12:13,4000.342
2019-03-17 12:14,4000.381
2019-03-17 12:15,3998.923
2019-03-17 12:16,3999.078
2019-03-17 12:17,3998.578
2019-03-17 12:18,3998.29
2019-03-17 12:19,3997.69
2019-03-17 12:20,3997.946
2019-03-17 12:21,3998.186
2019-03-17 12:22,3998.084
2019-03-17 12:23,3998.071
2019-03-17 12:24,3998.304
2019-03-17 12:25,3998.428
2019-03-17 12:26,3998.428
2019-03-17 12:27,3998.667
2019-03-17 12:28,3998.856
2019-03-17 12:29,3999.312
2019-03-17 12:31,3999.341
2019-03-17 12:32,3999.336
2019-03-17 12:33,3999.26
2019-03-17 12:34,3999.128
2019-03-17 12:35,3998.995
2019-03-17 12:36,3998.965
2019-03-17 12:37,3998.455
2019-03-17 12:38,3996.627
2019-03-17 12:39,3996.512
2019-03-17 12:40,3996.248
2019-03-17 12:41,3995.521
2019-03-17 12:42,3994.33
2019-03-17 12:43,3994.378
2019-03-17 12:44,3994.166
2019-03-17 12:45,3992.95
2019-03-17 12:46,3992.61
2019-03-17 12:47,3992.644
2019-03-17 12:48,3992.864
2019-03-17 12:49,3992.864
2019-03-17 12:50,3993.464
2019-03-17 12:51,3993.588
2019-03-17 12:52,3993.682
2019-03-17 12:53,3995.284
2019-03-17 12:54,3995.547
2019-03-17 12:55,3995.747
2019-03-17 12:56,3995.761
2019-03-17 12:57,3995.796
2019-03-17 12:58,3995.325
2019-03-17 12:59,3995.234
2019-03-17 13:00,3995.246
2019-03-17 13:01,3995.216
2019-03-17 13:02,3995.03
2019-03-17 13:03,3995.073
2019-03-17 13:04,3995.086
2019-03-17 13:06,3995.582
2019-03-17 13:07,3995.6
2019-03-17 13:08,3995.598
2019-03-17 13:09,3995.598
2019-03-17 13:10,3995.348
2019-03-17 13:11,3995.352
2019-03-17 13:12,3995.356
2019-03-17 13:13,3995.358
2019-03-17 13:14,3995.358
2019-03-17 13:15,3995.355
2019-03-17 13:16,3995.354
2019-03-17 13:17,3995.357
2019-03-17 13:18,3995.231
2019-03-17 13:19,3995.196
2019-03-17 13:20,3995.181
2019-03-17 13:21,3995.153
2019-03-17 13:22,3995.175
2019-03-17 13:23,3995.181
2019-03-17 13:24,3995.294
2019-03-17 13:25,3995.316
2019-03-17 13:26,3995.335
2019-03-17 13:27,3995.342
2019-03-17 13:28,3996.218
2019-03-17 13:29,3996.865
2019-03-17 13:30,3996.871
2019-03-17 13:31,3997.2
2019-03-17 13:32,3997.213
2019-03-17 13:33,3997.213
2019-03-17 13:34,3997.278
2019-03-17 13:35,3997.961
2019-03-17 13:36,3999.877
2019-03-17 13:37,3999.986
2019-03-17 13:38,4001.077
2019-03-17 13:39,4001.022
2019-03-17 13:40,4001.022
2019-03-17 13:41,4001.122
2019-03-17 13:43,4001.186
2019-03-17 13:44,4001.176
2019-03-17 13:45,4001.176
2019-03-17 13:46,4001.187
2019-03-17 13:47,4001.187
2019-03-17 13:48,4001.186
2019-03-17 13:49,4001.258
2019-03-17 13:50,4001.262
2019-03-17 13:51,4001.384
2019-03-17 13:52,4001.329
2019-03-17 13:53,4001.553
2019-03-17 13:54,4002.554
2019-03-17 13:55,4002.473
2019-03-17 13:56,4002.68
2019-03-17 13:57,4002.622
2019-03-17 13:58,4002.747
2019-03-17 13:59,4002.747
2019-03-17 14:00,4002.765
2019-03-17 14:01,4002.814
2019-03-17 14:02,4002.923
2019-03-17 14:03,4002.821
2019-03-17 14:04,4002.807
2019-03-17 14:05,4002.778
2019-03-17 14:07,4001.604
2019-03-17 14:08,4001.81
2019-03-17 14:09,4001.465
2019-03-17 14:10,4001.406
2019-03-17 14:11,4001.042
2019-03-17 14:12,4000.677
2019-03-17 14:13,4000.472
2019-03-17 14:14,4000.298
2019-03-17 14:15,4000.175
2019-03-17 14:16,4000.298
2019-03-17 14:17,4000.258
2019-03-17 14:18,4000.263
2019-03-17 14:19,4001.1
2019-03-17 14:20,4001.311
2019-03-17 14:21,4001.495
2019-03-17 14:22,4001.495
2019-03-17 14:23,4001.498
2019-03-17 14:24,4001.498
2019-03-17 14:25,4001.498
2019-03-17 14:26,4001.498
2019-03-17 14:27,4002.756
2019-03-17 14:28,4003.936
2019-03-17 14:29,4004.33
2019-03-17 14:30,4005.135
2019-03-17 14:31,4007.891
2019-03-17 14:33,4009.347
2019-03-17 14:34,4009.358
2019-03-17 14:34,4009.478
2019-03-17 14:35,4009.589
2019-03-17 14:35,4009.794
2019-03-17 14:35,4009.838
2019-03-17 14:36,4010.878
2019-03-17 14:37,4011.05
2019-03-17 14:37,4011.05
2019-03-17 14:37,4011.072
2019-03-17 14:37,4011.072
2019-03-17 14:37,4011.074
2019-03-17 14:37,4010.99
2019-03-17 14:37,4010.99
2019-03-17 14:37,4010.99
2019-03-17 14:37,4011.465
2019-03-17 14:37,4011.42
2019-03-17 14:37,4011.544
2019-03-17 14:38,4011.405
2019-03-17 14:38,4011.405
2019-03-17 14:38,4011.405
2019-03-17 14:38,4011.405
2019-03-17 14:38,4011.405
2019-03-17 14:38,4011.411
2019-03-17 14:38,4011.411
2019-03-17 14:38,4011.411
2019-03-17 14:38,4011.455
2019-03-17 14:39,4011.455
2019-03-17 14:39,4011.342
2019-03-17 14:39,4011.342
2019-03-17 14:39,4011.408
2019-03-17 14:39,4011.342
2019-03-17 14:39,4011.436
2019-03-17 14:39,4011.436
2019-03-17 14:39,4011.436
2019-03-17 14:39,4011.347
2019-03-17 14:39,4011.374
2019-03-17 14:40,4011.486
2019-03-17 14:40,4011.486
2019-03-17 14:40,4011.497
2019-03-17 14:40,4011.497
2019-03-17 14:40,4011.569
2019-03-17 14:40,4011.569
2019-03-17 14:40,4011.564
2019-03-17 14:40,4011.564
2019-03-17 14:40,4011.564
2019-03-17 14:40,4011.564
2019-03-17 14:41,4011.564
2019-03-17 14:41,4011.564
2019-03-17 14:41,4011.564
2019-03-17 14:41,4011.564
2019-03-17 14:41,4011.564
2019-03-17 14:41,4011.564
2019-03-17 14:41,4011.564
2019-03-17 14:41,4011.564
2019-03-17 14:41,4011.564
2019-03-17 14:41,4011.592
2019-03-17 14:42,4011.592
2019-03-17 14:42,4011.592
2019-03-17 14:42,4011.592
2019-03-17 14:42,4011.592
2019-03-17 14:42,4011.369
2019-03-17 14:42,4011.369
2019-03-17 14:42,4009.721
2019-03-17 14:42,4009.644
2019-03-17 14:42,4009.644
2019-03-17 14:42,4009.644
2019-03-17 14:43,4009.188
2019-03-17 14:43,4009.173
2019-03-17 14:43,4006.966
2019-03-17 14:43,4007.088
2019-03-17 14:43,4007.088
2019-03-17 14:43,4007.088
2019-03-17 14:43,4007.088
2019-03-17 14:43,4007.088
2019-03-17 14:43,4007.152
2019-03-17 14:43,4007.152
2019-03-17 14:43,4007.152
2019-03-17 14:44,4007.152
2019-03-17 14:44,4007.034
2019-03-17 14:44,4007.034
2019-03-17 14:44,4006.439
2019-03-17 14:44,4007.034
2019-03-17 14:44,4006.439
2019-03-17 14:44,4006.439
2019-03-17 14:44,4006.145
2019-03-17 14:44,4006.145
2019-03-17 14:44,4006.081
2019-03-17 14:45,4006.131
2019-03-17 14:45,4006.143
2019-03-17 14:45,4006.131
2019-03-17 14:45,4006.259
2019-03-17 14:45,4006.259
2019-03-17 14:45,4004.426
2019-03-17 14:45,4004.415
2019-03-17 14:45,4004.46
2019-03-17 14:45,4004.433
2019-03-17 14:45,4004.206
2019-03-17 14:46,4004.208
2019-03-17 14:46,4003.224
2019-03-17 14:46,4003.292
2019-03-17 14:46,4003.35
2019-03-17 14:46,4003.597
2019-03-17 14:46,4003.62
2019-03-17 14:46,4003.514
2019-03-17 14:46,4003.508
2019-03-17 14:46,4003.508
2019-03-17 14:46,4003.508
2019-03-17 14:47,4003.475
2019-03-17 14:47,4003.479
2019-03-17 14:47,4003.402
2019-03-17 14:47,4003.402
2019-03-17 14:47,4003.402
2019-03-17 14:47,4003.435
2019-03-17 14:47,4003.328
2019-03-17 14:47,4003.328
2019-03-17 14:47,4003.328
2019-03-17 14:47,4003.328
2019-03-17 14:48,4003.328
2019-03-17 14:48,4003.327
2019-03-17 14:48,4003.162
2019-03-17 14:48,4003.18
2019-03-17 14:48,4003.179
2019-03-17 14:48,4003.068
2019-03-17 14:48,4002.769
2019-03-17 14:48,4002.769
2019-03-17 14:48,4002.769
2019-03-17 14:48,4002.808
2019-03-17 14:49,4002.888
2019-03-17 14:49,4002.937
2019-03-17 14:49,4002.862
2019-03-17 14:49,4002.778
2019-03-17 14:49,4002.91
2019-03-17 14:49,4003.003
2019-03-17 14:49,4002.976
2019-03-17 14:49,4002.976
2019-03-17 14:49,4002.901
2019-03-17 14:49,4002.903
2019-03-17 14:49,4002.907
2019-03-17 14:50,4002.939
2019-03-17 14:50,4003.064
2019-03-17 14:50,4003.074
2019-03-17 14:50,4002.948
2019-03-17 14:50,4003.037
2019-03-17 14:50,4003.065
2019-03-17 14:50,4003.09
2019-03-17 14:50,4003.063
2019-03-17 14:50,4003.063
2019-03-17 14:50,4003.089
2019-03-17 14:51,4003.089
2019-03-17 14:51,4003.089
2019-03-17 14:51,4003.089
2019-03-17 14:51,4003.027
2019-03-17 14:51,4003.027
2019-03-17 14:51,4003.086
2019-03-17 14:51,4003.103
2019-03-17 14:51,4003.115
2019-03-17 14:51,4003.182
2019-03-17 14:51,4003.282
2019-03-17 14:52,4003.282
2019-03-17 14:52,4003.295
2019-03-17 14:52,4003.295
2019-03-17 14:52,4003.295
2019-03-17 14:52,4003.295
2019-03-17 14:52,4003.295
2019-03-17 14:52,4003.395
2019-03-17 14:52,4003.395
2019-03-17 14:52,4003.723
2019-03-17 14:52,4004.162
2019-03-17 14:53,4004.162
2019-03-17 14:53,4004.273
2019-03-17 14:53,4004.273
2019-03-17 14:53,4004.454
2019-03-17 14:53,4004.381
2019-03-17 14:53,4004.338
2019-03-17 14:53,4004.376
2019-03-17 14:53,4004.439
2019-03-17 14:53,4004.218
2019-03-17 14:53,4004.252
2019-03-17 14:53,4004.268
2019-03-17 14:54,4005.413
2019-03-17 14:54,4005.377
2019-03-17 14:54,4005.486
2019-03-17 14:54,4005.486
2019-03-17 14:54,4005.495
2019-03-17 14:54,4005.495
2019-03-17 14:54,4006.533
2019-03-17 14:54,4006.324
2019-03-17 14:54,4006.324
2019-03-17 14:54,4006.324
2019-03-17 14:55,4006.324
2019-03-17 14:55,4006.339
2019-03-17 14:55,4006.752
2019-03-17 14:55,4006.745
2019-03-17 14:55,4006.745
2019-03-17 14:55,4006.745
2019-03-17 14:55,4006.76
2019-03-17 14:55,4006.76
2019-03-17 14:55,4006.76
2019-03-17 14:55,4006.772
2019-03-17 14:56,4006.777
2019-03-17 14:56,4006.777
2019-03-17 14:56,4006.778
2019-03-17 14:56,4006.777
2019-03-17 14:56,4007.107
2019-03-17 14:56,4007.132
2019-03-17 14:56,4007.138
2019-03-17 14:56,4007.197
2019-03-17 14:56,4007.234
2019-03-17 14:56,4007.234
2019-03-17 14:56,4007.234
2019-03-17 14:57,4007.234
2019-03-17 14:57,4007.234
2019-03-17 14:57,4007.234
2019-03-17 14:57,4007.138
2019-03-17 14:57,4007.138
2019-03-17 14:57,4007.138
2019-03-17 14:57,4007.138
2019-03-17 14:57,4007.085
2019-03-17 14:57,4007.049
2019-03-17 14:57,4007.047
2019-03-17 14:58,4007.046
2019-03-17 14:58,4007.047
2019-03-17 14:58,4007.047
2019-03-17 14:58,4007.047
2019-03-17 14:58,4007.047
2019-03-17 14:58,4007.047
2019-03-17 14:58,4007.044
2019-03-17 14:58,4007.044
2019-03-17 14:58,4007.044
2019-03-17 14:58,4007.045
2019-03-17 14:58,4007.045
2019-03-17 14:59,4007.045
2019-03-17 14:59,4007.044
2019-03-17 14:59,4006.764
2019-03-17 14:59,4006.765
2019-03-17 14:59,4006.766
2019-03-17 14:59,4006.765
2019-03-17 14:59,4006.765
2019-03-17 14:59,4006.765
2019-03-17 14:59,4006.78
2019-03-17 14:59,4006.78
2019-03-17 15:00,4006.78
2019-03-17 15:00,4006.782
2019-03-17 15:00,4006.78
2019-03-17 15:00,4006.78
2019-03-17 15:00,4006.78
2019-03-17 15:00,4006.78
2019-03-17 15:00,4006.78
2019-03-17 15:00,4006.78
2019-03-17 15:00,4006.78
2019-03-17 15:00,4006.78
2019-03-17 15:01,4006.78
2019-03-17 15:01,4006.78
2019-03-17 15:01,4006.78
2019-03-17 15:01,4006.78
2019-03-17 15:01,4006.78
2019-03-17 15:01,4006.78
2019-03-17 15:01,4006.794
2019-03-17 15:01,4006.794
2019-03-17 15:01,4006.794
2019-03-17 15:01,4006.794
2019-03-17 15:02,4006.794
2019-03-17 15:02,4006.794
2019-03-17 15:02,4006.765
2019-03-17 15:02,4006.765
2019-03-17 15:02,4006.765
2019-03-17 15:02,4006.765
2019-03-17 15:02,4006.765
2019-03-17 15:02,4006.765
2019-03-17 15:02,4006.765
2019-03-17 15:02,4006.765
2019-03-17 15:02,4006.765
2019-03-17 15:03,4006.765
2019-03-17 15:03,4006.765
2019-03-17 15:03,4006.764
2019-03-17 15:03,4006.764
2019-03-17 15:03,4006.764
2019-03-17 15:03,4006.764
2019-03-17 15:03,4006.764
2019-03-17 15:03,4006.573
2019-03-17 15:03,4006.566
2019-03-17 15:03,4006.582
2019-03-17 15:04,4006.646
2019-03-17 15:04,4006.612
2019-03-17 15:04,4006.612
2019-03-17 15:04,4006.612
2019-03-17 15:04,4006.557
2019-03-17 15:04,4006.819
2019-03-17 15:04,4006.775
2019-03-17 15:04,4006.775
2019-03-17 15:04,4006.775
2019-03-17 15:04,4006.664
2019-03-17 15:05,4006.664
2019-03-17 15:05,4006.523
2019-03-17 15:05,4006.523
2019-03-17 15:05,4006.475
2019-03-17 15:05,4006.474
2019-03-17 15:05,4006.424
2019-03-17 15:05,4006.398
2019-03-17 15:05,4006.2
2019-03-17 15:06,4006.2
2019-03-17 15:06,4006.201
2019-03-17 15:06,4006.2
2019-03-17 15:06,4006.2
2019-03-17 15:06,4006.288
2019-03-17 15:06,4006.103
2019-03-17 15:06,4006.005
2019-03-17 15:06,4005.877
2019-03-17 15:06,4005.877
2019-03-17 15:06,4005.877
2019-03-17 15:06,4005.877
2019-03-17 15:07,4005.466
2019-03-17 15:07,4005.574
2019-03-17 15:07,4005.539
2019-03-17 15:07,4005.604
2019-03-17 15:07,4005.612
2019-03-17 15:07,4005.612
2019-03-17 15:07,4005.458
2019-03-17 15:07,4005.458
2019-03-17 15:07,4005.47
2019-03-17 15:07,4005.47
2019-03-17 15:08,4005.447
2019-03-17 15:08,4005.448
2019-03-17 15:08,4005.485
2019-03-17 15:08,4005.485
2019-03-17 15:08,4005.493
2019-03-17 15:08,4005.528
2019-03-17 15:08,4005.505
2019-03-17 15:08,4005.346
2019-03-17 15:08,4005.347
2019-03-17 15:08,4005.347
2019-03-17 15:08,4005.347
2019-03-17 15:09,4005.347
2019-03-17 15:09,4005.347
2019-03-17 15:09,4005.328
2019-03-17 15:09,4005.328
2019-03-17 15:09,4005.266
2019-03-17 15:09,4005.192
2019-03-17 15:09,4005.242
2019-03-17 15:09,4005.214
2019-03-17 15:09,4005.117
2019-03-17 15:09,4004.71
2019-03-17 15:10,4004.71
2019-03-17 15:10,4004.71
2019-03-17 15:10,4004.71
2019-03-17 15:10,4004.676
2019-03-17 15:10,4004.675
2019-03-17 15:10,4004.827
2019-03-17 15:10,4004.693
2019-03-17 15:10,4004.693
2019-03-17 15:10,4004.693
2019-03-17 15:10,4004.593
2019-03-17 15:11,4004.593
2019-03-17 15:11,4004.392
2019-03-17 15:11,4004.392
2019-03-17 15:11,4004.381
2019-03-17 15:11,4004.381
2019-03-17 15:11,4004.373
2019-03-17 15:11,4004.373
2019-03-17 15:11,4004.191
2019-03-17 15:11,4004.191
2019-03-17 15:11,4004.191
2019-03-17 15:11,4004.191
2019-03-17 15:12,4004.191
2019-03-17 15:12,4004.191
2019-03-17 15:12,4004.049
2019-03-17 15:12,4004.049
2019-03-17 15:12,4004.051
